id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16960,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:55:20","27 - Jesús Víctor Gil",si,EV21990,"ESMALTE TECNOBRIL CASTANO 19 L.",7501476221997,1,6,6, 7A2,,no,,,no
16961,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:55:38","27 - Jesús Víctor Gil",si,EV21810,"ESMALTE TECNOBRIL CREMA 1 L.",17501476221819,6,24,4, 8A1,,no,,,no
16962,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:56:08","27 - Jesús Víctor Gil",si,EV21910,"ESMALTE TECNOBRIL CASTANO 1 L.",17501476221918,6,360,60, 8A2,,no,,,no
16963,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:56:36","27 - Jesús Víctor Gil",si,EV22005,"ESMALTE TECNOBRIL AZUL CIELO 500 ML.",17501476222052,9,171,19, 7C3,,no,,,no
16964,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:56:49","27 - Jesús Víctor Gil",si,EV22105,"ESMALTE TECNOBRIL BLANCO MATE 500 ML.",17501476222151,9,135,15, 7C4,,no,,,no
16965,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:57:08","27 - Jesús Víctor Gil",si,EV22040,"ESMALTE TECNOBRIL AZUL CIELO 4 L.",17501476222045,2,24,12, 7B3,,no,,,no
16966,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:57:23","27 - Jesús Víctor Gil",si,EV22140,"ESMALTE TECNOBRIL BLANCO MATE 4 L.",17501476222144,2,6,3, 7B4,,no,,,no
16967,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:57:43","27 - Jesús Víctor Gil",si,EV22090,"ESMALTE TECNOBRIL AZUL CIELO 19 L.",7501476222093,1,7,7, 7A3,,no,,,no
16968,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:58:06","27 - Jesús Víctor Gil",si,EV22010,"ESMALTE TECNOBRIL AZUL CIELO 1 L.",17501476222014,6,234,39, 8A3,,no,,,no
16969,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:59:11","27 - Jesús Víctor Gil",si,EV22205,"ESMALTE TECNOBRIL NEGRO MATE 500 ML.",17501476222250,9,351,39, 7C5,,no,,,no
