id,code,description,base_price,base_discount,preferential_price,preferential_discount,price_list_id,,article_id,price,discount
2066,MM96410,"POLYFONDO 1 A 1 (NO USAR) 1 L.",90.2,0,2157.74,0,3,,2066,2157.74,0
22791,MM96502,"BARNIZ ENTINTADO ARCE 250 ML.",29.95,0,29.29,0,3,,22791,29.29,0
22792,MM96505,"BARNIZ ENTINTADO ARCE 500 ML.",48.67,0,47.59,0,3,,22792,47.59,0
2068,MM96510,"BARNIZ ENTINTADO ARCE 1 L.",92.35,0,90.3,0,3,,2068,90.3,0
22793,MM96540,"BARNIZ ENTINTADO ARCE 4 L.",343.19,0,335.57,0,3,,22793,335.57,0
22795,MM96602,"BARNIZ ENTINTADO MAPLE 250 ML.",29.95,0,29.29,0,3,,22795,29.29,0
22796,MM96605,"BARNIZ ENTINTADO MAPLE 500 ML.",48.67,0,47.59,0,3,,22796,47.59,0
2069,MM96610,"BARNIZ ENTINTADO MAPLE 1 L.",92.35,0,90.3,0,3,,2069,90.3,0
22797,MM96640,"BARNIZ ENTINTADO MAPLE 4 L.",343.19,0,335.57,0,3,,22797,335.57,0
22803,MM9690201,"BARNIZ ENTINTADO CHOCOLATE 19 L.",29.95,0,29.29,0,3,,22803,29.29,0
22804,MM9690501,"BARNIZ ENTINTADO CHOCOLATE 19 L.",48.68,0,47.59,0,3,,22804,47.59,0
2072,MM9691001,"BARNIZ ENTINTADO CHOCOLATE 1 L.",92.35,0,90.3,0,3,,2072,90.3,0
22805,MM9694001,"BARNIZ ENTINTADO CHOCOLATE 4 L.",343.2,0,335.57,0,3,,22805,335.57,0
2073,MM97110,"RETARDADOR P/NITRO 1 L.",78,0,85.8,0,3,,2073,85.8,0
22806,MM97140,"RETARDADOR P/NITRO DE 5 LTS. 4 L.",341.99,0,376.19,0,3,,22806,376.19,0
2077,MM97410,"ANTIPARASITOS 1 L.",75,0,82.5,0,3,,2077,82.5,0
22811,MM97502,"ALCOHOLOR ROJO 250 ML.",23.52,0,27.6,0,3,,22811,27.6,0
2078,MM97510,"ALCOHOLOR ROJO 1 L.",76.32,0,73,0,3,,2078,73,0
22812,MM97602,"ALCOHOLOR ROBLE 250 ML.",23.52,0,27.6,0,3,,22812,27.6,0
2079,MM97610,"ALCOHOLOR ROBLE 1 L.",76.32,0,73,0,3,,2079,73,0
22813,MM97702,"ALCOHOLOR AVELLANA 250 ML.",23.52,0,27.6,0,3,,22813,27.6,0
2080,MM97710,"ALCOHOLOR AVELLANA 1 L.",76.32,0,73,0,3,,2080,73,0
22814,MM97802,"ALCOHOLOR CHERRY 250 ML.",23.52,0,27.6,0,3,,22814,27.6,0
2081,MM97810,"ALCOHOLOR CHERRY 1 L.",76.32,0,73,0,3,,2081,73,0
22815,MM97902,"ALCOHOLOR CAOBA INGLES 250 ML.",23.52,0,27.6,0,3,,22815,27.6,0
2082,MM97910,"ALCOHOLOR CAOBA INGLES 1 L.",76.32,0,73,0,3,,2082,73,0
22816,MM98002,"ALCOHOLOR MAPLE 250 ML.",23.52,0,27.6,0,3,,22816,27.6,0
2083,MM98010,"ALCOHOLOR MAPLE 1 L.",76.32,0,73,0,3,,2083,73,0
22817,MM98102,"ALCOHOLOR CAOBA COMERCIAL 250 ML.",23.52,0,27.6,0,3,,22817,27.6,0
2084,MM98110,"ALCOHOLOR CAOBA COMERCIAL 1 L.",76.32,0,73,0,3,,2084,73,0
22818,MM98202,"ALCOHOLOR CAOBA CLASICO 250 ML.",23.52,0,27.6,0,3,,22818,27.6,0
2085,MM98210,"ALCOHOLOR CAOBA CLASICO 1 L.",76.32,0,73,0,3,,2085,73,0
22819,MM98302,"ALCOHOLOR NOGAL CLASICO 250 ML.",23.52,0,27.6,0,3,,22819,27.6,0
2086,MM98310,"ALCOHOLOR NOGAL CLASICO 1 L.",76.32,0,73,0,3,,2086,73,0
22820,MM98402,"ALCOHOLOR NOGAL AMERICANO 250 ML.",23.52,0,27.6,0,3,,22820,27.6,0
2087,MM98410,"ALCOHOLOR NOGAL AMERICANO 1 L.",76.32,0,73,0,3,,2087,73,0
22821,MM98502,"ALCOHOLOR OYAMEL 250 ML.",23.52,0,27.6,0,3,,22821,27.6,0
2088,MM98510,"ALCOHOLOR OYAMEL 1 L.",76.32,0,73,0,3,,2088,73,0
22822,MM98602,"ALCOHOLOR CAFE 250 ML.",23.52,0,27.6,0,3,,22822,27.6,0
2089,MM98610,"ALCOHOLOR CAFE 1 L.",76.32,0,73,0,3,,2089,73,0
22823,MM98702,"ALCOHOLOR CEDRO 250 ML.",23.52,0,27.6,0,3,,22823,27.6,0
